mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
441.3942_4.718,5818.037779112165,4069.201985771544,0.6994114064334086,0.00156,-0.5157867702976514,2.8068754016455384,441.3942,4.718,4012.4084,441.3942_4.718,441.3942_4.718,1
462.1763_0.655,1838.2130207509258,6150.328647813557,3.3458193247380517,1.49e-4,1.7423595415083224,3.826813731587726,462.1763,0.655,3573.565,462.1763_0.655,462.1763_0.655,1
464.314_4.127,23900.450846240226,27920.890842691668,1.1682160735090859,0.0483,0.22430714009942912,1.3160528692484879,464.314,4.127,24337.639,464.314_4.127,464.314_4.127,1
478.2933_3.354,36219.245403818975,28140.305219064507,0.7769434427835258,0.00343,-0.36411851270931783,2.4647058799572297,478.2933,3.354,31117.049,478.2933_3.354,478.2933_3.354,1
507.223_1.7,13145.971533705175,74099.66595778476,5.636682368267678,1.03e-6,2.4948462727060057,5.987162775294828,507.223,1.7,41604.465,507.223_1.7,507.223_1.7,1
507.223_2.273,4164.327701099084,13986.073132746187,3.3585428757335465,8.87e-6,1.747835446721202,5.052076380168273,507.223,2.273,8533.24,507.223_2.273,507.223_2.273,1
511.3997_4.453,5452.068796900664,4696.534802402787,0.861422512693278,5.08e-5,-0.21520706695823197,4.294136287716081,511.3997,4.453,3577.6084,511.3997_4.453,511.3997_4.453,1
514.2836_0.69,7955.332555293586,4080.2870305988963,0.5128996182420832,0.0136,-0.963251597388584,1.8664610916297826,514.2836,0.69,1257.1284,514.2836_0.69,514.2836_0.69,1
524.3351_3.376,26648.090627364632,31265.952126800552,1.1732905206609394,0.0232,0.23056028601894615,1.6345120151091004,524.3351,3.376,28103.627,524.3351_3.376,524.3351_3.376,1
526.3144_2.683,15446.702580134859,18963.259391167416,1.2276574429260394,0.00624,0.29590805717776186,2.204815410317576,526.3144,2.683,17634.268,526.3144_2.683,526.3144_2.683,1
528.2631_0.691,8213.958625306688,5673.094303943885,0.6906650693936344,0.0328,-0.5339418341550106,1.4841261562883208,528.2631,0.691,6114.2803,528.2631_0.691,528.2631_0.691,1
551.3582_4.841,5397.940072532681,32397.579282841194,6.001841229711993,1.35e-6,2.585405154968055,5.8696662315049934,551.3582,4.841,18963.234,551.3582_4.841,551.3582_4.841,1
554.3456_3.441,33882.37727171088,40271.71501471751,1.188574068807776,0.00707,0.24923181103972267,2.1505805862031004,554.3456,3.441,35070.05,554.3456_3.441,554.3456_3.441,1
559.4719_6.867,6591.230427369969,4749.434254355994,0.7205686869380338,6.37e-4,-0.4727921355744592,3.1958605676646497,559.4719,6.867,5295.815,559.4719_6.867,559.4719_6.867,1
