mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1666.3553_10.589,11204.148935528303,8905.190355320401,0.7948118510886699,0.00509,-0.3313147107504764,2.2932822176632413,1666.3553,10.589,8501.005,1666.3553_10.589,1666.3553_10.589,1
1674.3803_10.59,5197.248209857809,3905.4041786174453,0.7514369183311129,0.00389,-0.41227609710729735,2.4100503986742923,1674.3803,10.59,3841.819,1674.3803_10.59,1674.3803_10.59,1
1675.384_10.589,4991.281717662636,3708.5656832248987,0.7430086885501588,0.00764,-0.4285490135246534,2.1169066414243103,1675.384,10.589,4111.413,1675.384_10.589,1675.384_10.589,1
188.9862_0.644,20390.666192835768,31986.01743637593,1.5686597550998198,0.00132,0.6495324632929147,2.87942606879415,188.9862,0.644,28410.982,188.9862_0.644,188.9862_0.644,1
201.0226_0.688,2535.8665010694795,1154.7663276112,0.45537346982744853,0.0405,-1.134877852739367,1.3925449767853315,201.0226,0.688,1658.4958,201.0226_0.688,201.0226_0.688,1
203.0013_0.66,9964.902367269664,14256.490344097618,1.4306703486552903,0.0277,0.5166912883135576,1.5575202309355514,203.0013,0.66,14018.253,203.0013_0.66,203.0013_0.66,1
213.0223_0.689,7586.29765655171,13752.072971971442,1.8127515679660708,0.0012,0.8581812217054386,2.9208187539523753,213.0223,0.689,11835.408,213.0223_0.689,213.0223_0.689,1
239.0923_0.975,15539.91325825718,10107.816086522831,0.6504422462687822,0.0325,-0.6205071312888109,1.4881166390211256,239.0923,0.975,12226.621,239.0923_0.975,239.0923_0.975,1
311.2224_2.465,6926.841657984141,5332.260513941757,0.7697967958882951,0.0409,-0.3774504286303843,1.3882766919926581,311.2224,2.465,6337.748,311.2224_2.465,311.2224_2.465,1
352.0856_0.687,7556.885685173802,10922.712201099452,1.4453986279730575,0.0371,0.5314674299502319,1.4306260903849541,352.0856,0.687,7253.043,352.0856_0.687,352.0856_0.687,1
383.1529_0.667,2818.502661645854,3806.981457665714,1.3507106129332664,0.0259,0.43371861322254457,1.586700235918748,383.1529,0.667,2877.047,383.1529_0.667,383.1529_0.667,1
391.2849_2.246,8743.16211396824,6142.419278459953,0.7025397903404661,0.00457,-0.5093481561001645,2.3400837999301496,391.2849,2.246,5048.202,391.2849_2.246,391.2849_2.246,1
397.3681_5,8679.151731948754,7060.702569100752,0.8135244995325589,2.58e-4,-0.29774230114456407,3.58838029403677,397.3681,5,5372.114,397.3681_5,397.3681_5,1
411.3837_5.349,10038.28168637216,8551.552360671476,0.8518940420132812,0.00209,-0.23125409468062968,2.679853713888946,411.3837,5.349,6643.776,411.3837_5.349,411.3837_5.349,1
437.0542_0.688,3717.392931990376,9063.839029019751,2.4382246361475617,0.00107,1.2858310490617566,2.9706162223147903,437.0542,0.688,6556.153,437.0542_0.688,437.0542_0.688,1
441.3942_4.718,6421.716787578758,4067.80389393763,0.6334449226732956,1.3e-4,-0.658708910786426,3.886056647693163,441.3942,4.718,4012.4084,441.3942_4.718,441.3942_4.718,1
462.1763_0.655,2794.656934367116,4900.761424209601,1.753618257734178,0.0136,0.8103347240574249,1.8664610916297826,462.1763,0.655,3573.565,462.1763_0.655,462.1763_0.655,1
506.3245_3.232,17057.910699510954,13853.105525248871,0.8121220569906041,0.0136,-0.30023152291818567,1.8664610916297826,506.3245,3.232,12757.774,506.3245_3.232,506.3245_3.232,1
507.223_1.7,14692.182252364611,65452.56891693616,4.454924924879828,7.22e-5,2.15540111942033,4.141462802430361,507.223,1.7,41604.465,507.223_1.7,507.223_1.7,1
507.223_2.273,4904.437089330507,13136.829860932461,2.6785601735031612,4.8e-4,1.421457706376569,3.318758762624413,507.223,2.273,8533.24,507.223_2.273,507.223_2.273,1
524.3351_3.376,26672.613987042176,31353.15479857671,1.1754811438357107,0.00672,0.23325139657247443,2.1726307269461747,524.3351,3.376,28103.627,524.3351_3.376,524.3351_3.376,1
528.2631_0.691,6766.211029986372,5407.07464386426,0.7991288802405488,0.0411,-0.32349990100858694,1.3861581781239307,528.2631,0.691,6114.2803,528.2631_0.691,528.2631_0.691,1
539.4309_4.416,20933.859971890364,18070.956225212056,0.8632405227453243,0.0147,-0.2121655046310304,1.832682665251824,539.4309,4.416,17587.09,539.4309_4.416,539.4309_4.416,1
551.3582_4.841,5125.642295857851,26977.911732620807,5.263323145749417,6.71e-6,2.395973972915144,5.1732774798310075,551.3582,4.841,18963.234,551.3582_4.841,551.3582_4.841,1
557.457_6.865,6294.374718378467,4891.575726408095,0.7771344963186818,0.0362,-0.3637637917752291,1.4412914294668342,557.457,6.865,4422.7666,557.457_6.865,557.457_6.865,1
559.4719_6.867,7953.369622201783,5872.613327618779,0.7383805363735912,0.00632,-0.43756357067857793,2.199282921717615,559.4719,6.867,5295.815,559.4719_6.867,559.4719_6.867,1
566.3462_3.232,454350.88960232603,374019.7559344974,0.823195826163917,0.0274,-0.2806924275095674,1.562249437179612,566.3462,3.232,418799.75,Cluster_566.3462_3.232,1087.6933_3.233;556.3168_3.233;566.3462_3.232,3
567.4621_4.643,6205.590151747955,4193.372604508796,0.6757411466059567,4.31e-5,-0.5654573898386074,4.3655227298392685,567.4621,4.643,4465.4155,567.4621_4.643,567.4621_4.643,1
573.4515_4.873,7112.51181675525,4572.100159669052,0.6428249650001788,0.00144,-0.6375021357210234,2.8416375079047502,573.4515,4.873,5242.9346,573.4515_4.873,573.4515_4.873,1
575.4672_5.354,4948.756135523864,3163.6912974633537,0.6392901995621275,4.51e-6,-0.6454571176598455,5.345823458122039,575.4672,5.354,3552.854,575.4672_5.354,575.4672_5.354,1
575.467_4.662,3581.2506732322795,2829.796297693792,0.7901698473231259,0.00172,-0.3397653003907879,2.7644715530924513,575.467,4.662,3037.523,575.467_4.662,575.467_4.662,1
577.3738_4.918,5964.707027991691,14350.322944205653,2.4058722208586643,4.29e-5,1.266560021055598,4.367542707815276,577.3738,4.918,11294.565,577.3738_4.918,577.3738_4.918,1
579.3893_5.557,4758.223911484883,13687.461153444361,2.8765903849978685,1.61e-4,1.5243598016803697,3.7931741239681505,579.3893,5.557,10819.189,579.3893_5.557,579.3893_5.557,1
586.3143_2.221,14279.839106156638,10518.88295998499,0.7366247533874425,0.0265,-0.44099821680626955,1.576754126063192,586.3143,2.221,11496.424,586.3143_2.221,586.3143_2.221,1
591.3894_5.174,12285.826570446063,17690.75318336259,1.4399318663604,0.00286,0.5260005488971137,2.543633966870957,591.3894,5.174,15443.811,591.3894_5.174,591.3894_5.174,1
591.462_4.314,9999.214019202864,4838.98467711462,0.4839365041913948,6.82e-4,-1.0471103265146393,3.166215625343521,591.462,4.314,5867.574,591.462_4.314,591.462_4.314,1
591.462_4.651,7791.6813828838885,4836.615696291758,0.6207409490481001,4.63e-6,-0.6879367741012232,5.334419008982047,591.462,4.651,6086.664,591.462_4.651,591.462_4.651,1
593.4778_4.664,43212.63236313293,25682.93616293033,0.5943386171688503,3.23e-6,-0.7506429717412905,5.490797477668897,593.4778,4.664,28170.127,593.4778_4.664,593.4778_4.664,1
595.4933_4.953,38349.941625924366,25315.551151501226,0.6601196788885864,1.85e-9,-0.5992004878608457,8.732828271596986,595.4933,4.953,21889.58,Cluster_595.4933_4.953,595.4933_4.953;617.4753_4.956,2
605.4051_5.422,7218.489970313033,5640.198477171562,0.7813543414713607,0.032,-0.3559511409493495,1.494850021680094,605.4051,5.422,6937.227,605.4051_5.422,605.4051_5.422,1
618.308_3.232,20614.05013529518,17906.948407034666,0.8686768630864325,0.0243,-0.20310848254277938,1.6143937264016879,618.308,3.232,19183.629,618.308_3.232,618.308_3.232,1
628.5437_10.491,26015.863418336885,22062.128459235642,0.8480259949275982,0.0024,-0.23781960583198472,2.619788758288394,628.5437,10.491,25483.688,628.5437_10.491,628.5437_10.491,1
634.3329_3.232,28530.901052462465,24496.348237678543,0.858590066701181,0.00629,-0.21995861299825237,2.201349354554731,634.3329,3.232,27316.904,634.3329_3.232,634.3329_3.232,1
654.5589_10.54,36298.48855294393,28294.326713589715,0.7794904923470967,0.024,-0.35939666879220045,1.6197887582883939,654.5589,10.54,28731.074,654.5589_10.54,654.5589_10.54,1
656.5586_10.54,14421.369680606549,10620.587441568,0.7364479017447466,0.012,-0.4413446260457966,1.9208187539523751,656.5586,10.54,11585.225,656.5586_10.54,656.5586_10.54,1
656.575_10.694,168623.8183829008,125920.73788741467,0.746755346279026,0.00479,-0.42129243356304386,2.319664486585437,656.575,10.694,141572.64,Cluster_656.575_10.694,656.575_10.694;658.5736_10.694;666.6032_10.695,3
676.6243_10.731,5161.106797508503,6282.151353458117,1.2172101062684446,0.0308,0.2835782174426671,1.5114492834995557,676.6243,10.731,5050.361,676.6243_10.731,676.6243_10.731,1
684.6065_10.853,436537.9479146317,317221.1867746269,0.7266749392349778,0.00155,-0.4606179417849949,2.8096683018297086,684.6065,10.853,363802.88,Cluster_684.6065_10.853,684.6065_10.853;686.6054_10.854;694.635_10.854,3
686.6207_10.914,36607.61837172775,29079.040165096558,0.7943439496614302,0.0433,-0.33216426758800194,1.3635121036466347,686.6207,10.914,31390.258,Cluster_686.6207_10.914,686.6207_10.914;696.6498_10.915;697.653_10.915,3
696.6064_10.749,15146.059956461375,18263.44998189521,1.2058218463676385,0.0485,0.27001677262129387,1.3142582613977363,696.6064,10.749,16448.336,Cluster_696.6064_10.749,696.6064_10.749;706.6345_10.754,2
711.6251_10.854,85887.1598983584,59090.37345407318,0.6880000866718915,0.00433,-0.539519348214204,2.3635121036466344,711.6251,10.854,61584.508,711.6251_10.854,711.6251_10.854,1
716.5225_8.139,8472.448510386283,6343.1291000829915,0.7486772085197116,0.00476,-0.4175842587724435,2.322393047279507,716.5225,8.139,7424.2305,716.5225_8.139,716.5225_8.139,1
746.5966_10.853,10979.123093921899,8665.160478862541,0.7892397602919327,0.00332,-0.34146445695680616,2.4788619162959638,746.5966,10.853,9415.05,746.5966_10.853,746.5966_10.853,1
752.5589_9.222,7261.823169039057,9538.537007553365,1.313518215125525,0.0253,0.39343620708673543,1.596879478824182,752.5589,9.222,8725.46,752.5589_9.222,752.5589_9.222,1
759.5646_6.287,8402.437340856904,9768.93666727205,1.1626313022021044,0.0292,0.2173936567271736,1.5346171485515816,759.5646,6.287,8385.86,759.5646_6.287,759.5646_6.287,1
761.5803_7.053,12552.392515674954,15323.248558673995,1.2207432598637193,0.00379,0.28775981239025955,2.421360790031928,761.5803,7.053,12607.262,761.5803_7.053,761.5803_7.053,1
762.6216_10.854,6634.261015171707,4613.88384109977,0.6954631164719638,0.0116,-0.5239540906791441,1.9355420107730816,762.6216,10.854,5122.8843,762.6216_10.854,762.6216_10.854,1
771.5646_6.096,8940.466217353702,11571.34349229895,1.2942662285148665,8.49e-4,0.37213440794281133,3.071092309756047,771.5646,6.096,10028.057,771.5646_6.096,771.5646_6.096,1
780.4705_7.867,6335.883847315037,7733.863301998218,1.220644741660724,0.024,0.2876433772124942,1.6197887582883939,780.4705,7.867,6633.9,780.4705_7.867,780.4705_7.867,1
789.6114_7.911,4057.342277550045,4955.412146953963,1.221344369779471,0.0487,0.2884700394119861,1.3124710387853658,789.6114,7.911,4557.0386,789.6114_7.911,789.6114_7.911,1
789.6116_8.177,8518.785081878004,9925.104528400121,1.1650845082961159,0.0101,0.2204346031868077,1.9956786262173574,789.6116,8.177,9532.207,789.6116_8.177,789.6116_8.177,1
804.5762_7.774,862269.488261653,730001.3780221638,0.8466046728544883,4.58e-4,-0.24023964321969898,3.339134521996131,804.5762,7.774,826066,Cluster_804.5762_7.774,1564.1517_7.775;1565.1551_7.774;804.5762_7.774,3
806.4942_7.271,4763.093972212756,4126.085213897587,0.8662615598114605,7.02e-4,-0.20712539549160355,3.153662887870195,806.4942,7.271,4988.599,806.4942_7.271,806.4942_7.271,1
810.5642_6.968,3693.544033052583,2594.4468307165257,0.7024274808962566,0.0264,-0.5095788067094252,1.578396073130169,810.5642,6.968,2812.582,810.5642_6.968,810.5642_6.968,1
810.5647_7.467,110242.36907078,129026.03651611044,1.1703851940379708,0.00714,0.22698342388576936,2.1463017882238256,810.5647,7.467,117495.53,Cluster_810.5647_7.467,810.5647_7.467;878.5516_7.469,2
815.627_8.417,6818.811260903913,7997.16073239466,1.1728086357583893,0.0163,0.22996763164024037,1.7878123955960423,815.627,8.417,6765.072,815.627_8.417,815.627_8.417,1
818.6271_10.414,41416.69171478489,33586.15153077499,0.8109327457167574,0.00118,-0.30234582464242266,2.9281179926938745,818.6271,10.414,33471.445,818.6271_10.414,818.6271_10.414,1
819.6141_9.024,25274.616228628,21560.264753322183,0.8530402423638522,0.00881,-0.2293142922777887,2.0550240915879523,819.6141,9.024,21387.59,819.6141_9.024,819.6141_9.024,1
