mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
828.6559_10.414,28502.76161732201,23180.145982458078,0.8132596515970855,0.0216,-0.298212055913453,1.665546248849069,828.6559,10.414,24620.148,828.6559_10.414,828.6559_10.414,1
831.6576_9.28,4877.596163196171,6877.984754701267,1.4101177146642434,0.0036,0.49581560182528334,2.4436974992327127,831.6576,9.28,4799.041,831.6576_9.28,831.6576_9.28,1
832.6067_8.94,189523.67401560777,157809.53666935556,0.8326639797852353,0.043,-0.2641936791276926,1.3665315444204136,832.6067,8.94,182574.25,Cluster_832.6067_8.94,832.6067_8.94;900.5936_8.939,2
833.6294_9.395,8006.856741440552,9602.505493269853,1.199285288017058,0.00525,0.2621748903196505,2.279840696594043,833.6294,9.395,7996.6504,833.6294_9.395,833.6294_9.395,1
834.5643_7.242,14530.476620689695,16943.266792466035,1.1660503116835692,0.00596,0.22163003798134095,2.2247537402597635,834.5643,7.242,16584.709,834.5643_7.242,834.5643_7.242,1
835.5322_8.336,26220.519185637484,20233.286895824953,0.7716585149430569,0.00243,-0.3739655476417063,2.614393726401688,835.5322,8.336,22171.887,835.5322_8.336,835.5322_8.336,1
840.5749_7.321,13745.73425754433,16246.321054510547,1.1819172952215173,0.04,0.24112908632059443,1.3979400086720375,840.5749,7.321,14087.708,840.5749_7.321,840.5749_7.321,1
840.5749_7.471,26599.38219192798,31566.379496579895,1.1867335590282706,0.00226,0.24699606285124315,2.6458915608525992,840.5749,7.471,30003.941,840.5749_7.471,840.5749_7.471,1
841.6406_8.452,7202.234370576112,9100.974144965083,1.2636320448201535,0.00164,0.33757642839315416,2.785156151952302,841.6406,8.452,7333.4214,841.6406_8.452,841.6406_8.452,1
842.5905_7.891,9360.882449942868,10982.842903305478,1.1732700375243479,0.0146,0.23053509943726588,1.8356471442155629,842.5905,7.891,9994.882,842.5905_7.891,842.5905_7.891,1
843.6586_9.396,30304.351138473165,35688.49796465641,1.1776691010997347,7.26e-4,0.23593423079516843,3.1390633792999063,843.6586,9.396,32191.95,843.6586_9.396,843.6586_9.396,1
853.619_10.659,4081.5548872388804,5037.454562703519,1.2341998826117202,0.013,0.3035760624777968,1.8860566476931633,853.619,10.659,4023.726,853.619_10.659,853.619_10.659,1
853.6428_8.12,12007.407993193032,15186.144785454371,1.2647313053794256,2.04e-4,0.3388309141119944,3.6903698325741012,853.6428,8.12,13549.589,853.6428_8.12,853.6428_8.12,1
854.5519_7.576,9537.578929080526,11047.177024741806,1.1582789622907805,0.0186,0.21198275682046966,1.7304870557820837,854.5519,7.576,10365.315,854.5519_7.576,854.5519_7.576,1
857.6737_9.513,3786.4561617902436,5701.3595050381045,1.5057244192000605,0.00203,0.5904577491372727,2.692503962086787,857.6737,9.513,4148.6226,857.6737_9.513,857.6737_9.513,1
860.6919_10.384,12996.618258196862,16798.090243562194,1.292497010364044,0.0484,0.370160943489567,1.3151546383555874,860.6919,10.384,12864.761,860.6919_10.384,860.6919_10.384,1
862.527_7.471,7556.1685022807815,9021.126277192743,1.193875741980843,0.00431,0.25565268940281255,2.3655227298392685,862.527,7.471,8281.876,862.527_7.471,862.527_7.471,1
862.6535_10.583,13044.345187560819,11316.62413589712,0.8675501892336255,0.0316,-0.2049808724541445,1.5003129173815961,862.6535,10.583,11477.875,862.6535_10.583,862.6535_10.583,1
863.5644_9.582,24214.13469121569,16823.412525108673,0.6947765319572541,8.82e-4,-0.5253790711221514,3.05453141486818,863.5644,9.582,19432.344,863.5644_9.582,863.5644_9.582,1
864.5747_7.263,8670.193611671311,10412.172129382192,1.200915757563468,0.0015,0.26413495170290874,2.8239087409443187,864.5747,7.263,9278.06,864.5747_7.263,864.5747_7.263,1
868.5303_7.476,5522.18316348241,6795.577472107158,1.2305961738186384,3.13e-4,0.29935741201734994,3.5044556624535517,868.5303,7.476,6070.1226,868.5303_7.476,868.5303_7.476,1
871.6891_10.337,25006.13729857849,34823.98335369173,1.3926174577819082,8.21e-5,0.4777990141815032,4.085656842880559,871.6891,10.337,24499.947,871.6891_10.337,871.6891_10.337,1
878.5903_7.305,8285.388061918755,9870.830961676456,1.191354090829457,0.0122,0.25260227059934676,1.9136401693252518,878.5903,7.305,9352.432,878.5903_7.305,878.5903_7.305,1
883.6211_9.976,16031.23931363255,13829.131958853879,0.8626364866934488,0.0125,-0.21317535625704348,1.9030899869919435,883.6211,9.976,14458.555,883.6211_9.976,883.6211_9.976,1
884.5687_8.94,19003.247717569993,15991.395002242361,0.8415085273796153,0.0133,-0.24895020378852573,1.8761483590329142,884.5687,8.94,16196.027,884.5687_8.94,884.5687_8.94,1
887.5646_9.463,5985.7099505869455,5116.323144251049,0.8547562756109413,0.0209,-0.22641498493907922,1.679853713888946,887.5646,9.463,5616.5,887.5646_9.463,887.5646_9.463,1
911.6461_9.397,7477.390631193465,8775.52853981546,1.1736084113629888,0.0102,0.23095111609342284,1.9913998282380825,911.6461,9.397,7776.882,911.6461_9.397,911.6461_9.397,1
920.6735_10.31,9493.252646133007,12163.741321420766,1.2813038665283558,1.06e-4,0.35761265737106995,3.9746941347352296,920.6735,10.31,8496.223,920.6735_10.31,920.6735_10.31,1
923.6524_10.353,4900.806298624194,6330.341579666448,1.2916938956439816,5.27e-4,0.36926422207590703,3.2781893847874533,923.6524,10.353,4510.3643,923.6524_10.353,923.6524_10.353,1
931.5514_9.582,4402.946619558478,3208.309870770877,0.7286733517320276,0.00227,-0.4566558639385984,2.6439741428068775,931.5514,9.582,3749.128,931.5514_9.582,931.5514_9.582,1
939.6769_10.335,5274.691110869827,6964.338095501875,1.3203309822541278,0.00336,0.40089963155394615,2.473660722610156,939.6769,10.335,5425.626,939.6769_10.335,939.6769_10.335,1
