mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1604.1937_7.739,5016.539573613513,5996.622652287154,1.1953703472865593,0.00901,0.2574576603964589,2.045275209020937,1604.1937,7.739,4994.7393,1604.1937_7.739,1604.1937_7.739,1
1622.2784_7.959,12497.389140479567,14780.621337412893,1.1826967353955429,0.0107,0.24208018827626515,1.9706162223147903,1622.2784,7.959,13340.117,1622.2784_7.959,1622.2784_7.959,1
1624.3414_10.412,4010.8850368369444,4751.422787867687,1.1846320062104656,0.00684,0.244438970291078,2.164943898279884,1624.3414,10.412,4208.445,1624.3414_10.412,1624.3414_10.412,1
1629.2009_7.725,10248.52290046511,12395.633312815378,1.2095043776750332,0.00869,0.27441599101162173,2.0609802235513337,1629.2009,7.725,11081.57,Cluster_1629.2009_7.725,1628.1971_7.724;1629.2009_7.725,2
1647.2105_8.001,11253.858821245482,12951.828096977777,1.1508788498862987,0.0418,0.20273597259491968,1.3788237182249647,1647.2105,8.001,12041.964,1647.2105_8.001,1647.2105_8.001,1
1648.3413_9.902,7055.758032916726,8539.671439826965,1.2103124001684076,0.0123,0.2753794772541495,1.9100948885606022,1648.3413,9.902,7599.1577,1648.3413_9.902,1648.3413_9.902,1
1649.3444_10.225,3842.1683983649086,2946.769222564049,0.7669547289541213,0.00752,-0.38278667262322463,2.123782159408358,1649.3444,10.225,3057.0552,1649.3444_10.225,1649.3444_10.225,1
1685.4637_11.522,10024.146670543232,7483.1714816801605,0.746514564044645,0.0262,-0.421757688151092,1.5816987086802545,1685.4637,11.522,9873.009,1685.4637_11.522,1685.4637_11.522,1
1689.4913_11.681,7510.7451144160195,5539.716866086292,0.7375722091079134,0.0286,-0.439143797224138,1.5436339668709569,1689.4913,11.681,6662.653,Cluster_1689.4913_11.681,1688.4878_11.681;1689.4913_11.681,2
205.1221_0.621,5485.8123194110685,3272.6731522988675,0.5965703822419879,5.09e-4,-0.7452357405016584,3.2932822176632413,205.1221,0.621,3984.055,205.1221_0.621,205.1221_0.621,1
286.1437_1.13,41419.70363494577,76942.09568077473,1.8576206232402577,0.00974,0.8934558941557422,2.0114410431213843,286.1437,1.13,60980.496,Cluster_286.1437_1.13,286.1437_1.13;308.1256_1.117,2
308.1855_0.633,751.293184498216,9981.921453839997,13.286319721517055,7.1e-8,3.7318696317956115,7.1487416512809245,308.1855,0.633,5495.2344,308.1855_0.633,308.1855_0.633,1
310.2012_0.633,25333.635781428577,31168.351563682605,1.2303149785760836,0.0224,0.2990277138213577,1.6497519816658373,310.2012,0.633,28287.213,310.2012_0.633,310.2012_0.633,1
312.1597_1.413,4451.546097685732,12683.874151859023,2.8493188374378757,1.34e-5,1.5106170675913708,4.872895201635193,312.1597,1.413,10710.363,Cluster_312.1597_1.413,312.1597_1.413;399.2641_1.416;413.2797_1.415,3
373.2483_1.147,11554.337832417235,20572.01636975035,1.7804582718736865,0.0109,0.8322486240377636,1.9625735020593764,373.2483,1.147,17659.41,373.2483_1.147,373.2483_1.147,1
383.1533_0.931,814.7398696651444,531.8159651117385,0.6527432680203967,0.0445,-0.6154124213131235,1.3516399890190685,383.1533,0.931,526.1514,383.1533_0.931,383.1533_0.931,1
398.3413_0.639,607.178615978702,919.440165363367,1.5142828504942245,0.0152,0.5986347092152318,1.8181564120552274,398.3413,0.639,1063.0312,398.3413_0.639,398.3413_0.639,1
424.3418_1.822,18020.634821686486,20821.21636935752,1.1554097053396113,0.0268,0.20840451835266338,1.5718652059712113,424.3418,1.822,20409.59,424.3418_1.822,424.3418_1.822,1
428.3732_2.759,29161.7122461301,24582.872214736308,0.8429845273573939,0.0109,-0.24642194356533625,1.9625735020593764,428.3732,2.759,25670.871,428.3732_2.759,428.3732_2.759,1
464.1914_0.656,4548.841258863651,8492.720906610954,1.8670075351744688,0.0113,0.9007277502405483,1.9469215565165803,464.1914,0.656,5211.399,464.1914_0.656,464.1914_0.656,1
502.2902_3.355,9206.907265030175,6882.426355178269,0.7475285844704022,0.0194,-0.4197993478371811,1.712198270069774,502.2902,3.355,8336.037,502.2902_3.355,502.2902_3.355,1
518.4564_5.944,18622.060819047885,22404.946318814462,1.2031400034896884,8.59e-4,0.26680453161455353,3.0660068361687576,518.4564,5.944,20958.312,Cluster_518.4564_5.944,518.4564_5.944;532.4721_5.945,2
522.3564_3.24,1246527.405091511,960303.3278762269,0.7703828443352421,0.0283,-0.37635251874136233,1.5482135644757098,522.3564,3.24,1107699.5,Cluster_522.3564_3.24,1043.703_3.238;1065.6846_3.239;522.3564_3.24;639.47_3.238,4
526.2644_1.714,12155.85156058946,50602.209229504675,4.162786044012114,1.12e-4,2.057549409745236,3.9507819773298185,526.2644,1.714,33940.074,Cluster_526.2644_1.714,463.2323_1.708;526.2644_1.714;531.2196_1.712,3
536.437_10.971,26643.554811376496,14351.139031780705,0.538634545329249,7.02e-8,-0.8926213348268955,7.153662887870195,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
536.437_11.201,19268.91642028861,14766.548774337467,0.7663403822121251,0.00306,-0.3839427645445234,2.51427857351842,536.437,11.201,24362.299,Cluster_536.437_11.201,536.437_11.201;537.4408_11.2,2
538.3859_4.051,7988.447068428331,9901.709105208993,1.239503625722475,0.00369,0.30976249151675606,2.43297363384094,538.3859,4.051,9140.667,538.3859_4.051,538.3859_4.051,1
