mz_rt,control,tomato,FC_tom_div_ctrl,p,log2_FC_tom_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
568.4266_4.64,34902.48921926561,26991.36771451081,0.773336467348925,0.0128,-0.37083184870504526,1.8927900303521317,568.4266,4.64,30159.934,568.4266_4.64,568.4266_4.64,1
569.4277_4.639,14958.991274587996,11530.576284516561,0.7708124212963777,0.00401,-0.37554827468302615,2.396855627379818,569.4277,4.639,13774.206,569.4277_4.639,569.4277_4.639,1
585.2705_0.643,88568.04558048194,61034.26797246484,0.6891228949723509,0.0235,-0.5371668054892976,1.6289321377282637,585.2705,0.643,60525.918,585.2705_0.643,585.2705_0.643,1
593.4762_4.644,5906.564679388962,4975.8448112676515,0.8424261954890514,0.0377,-0.2473777968017907,1.4236586497942072,593.4762,4.644,6266.7153,593.4762_4.644,593.4762_4.644,1
704.3938_6.501,6507.700044931015,5440.6783260984,0.8360370466577143,0.0166,-0.2583612221443979,1.779891911959945,704.3938,6.501,6314.822,704.3938_6.501,704.3938_6.501,1
781.62_7.043,12202.286736064392,10229.571912553089,0.8383323662047001,0.0311,-0.25440576503129364,1.5072396109731625,781.62,7.043,10263.284,781.62_7.043,781.62_7.043,1
794.7051_10.958,2191.358212616414,1787.2228369530364,0.8155776753720002,0.0313,-0.2941058095658435,1.5044556624535514,794.7051,10.958,2103.071,794.7051_10.958,794.7051_10.958,1
799.6692_9.585,251122.47561951255,215928.12128645752,0.8598518342644103,0.0311,-0.2178400122677492,1.5072396109731625,799.6692,9.585,228261.52,Cluster_799.6692_9.585,799.6692_9.585;821.6503_9.585,2
809.6525_8.065,86422.37456222659,70410.32376270537,0.8147233181148931,0.0363,-0.29561789487491613,1.4400933749638876,809.6525,8.065,68933.03,809.6525_8.065,809.6525_8.065,1
811.6703_8.961,1376371.1635342871,1154284.8727278956,0.8386436037819104,0.0269,-0.253870252391433,1.570247719997592,811.6703,8.961,1178470.8,Cluster_811.6703_8.961,1622.3273_8.96;1623.3314_8.96;811.6703_8.961,3
813.6854_10.226,569451.7703961722,485164.10849077464,0.8519845467391243,0.0229,-0.23110083174260643,1.640164517660112,813.6854,10.226,571533.44,Cluster_813.6854_10.226,1626.3599_10.225;1627.3632_10.227;813.6854_10.226,3
824.6527_9.167,6018.840728190087,5189.5464637612,0.8622169447772939,0.0346,-0.21387717942969656,1.4609239012072235,824.6527,9.167,5112.047,824.6527_9.167,824.6527_9.167,1
928.7831_8.964,10584.480198460704,9154.036745698553,0.8648546337712286,0.0098,-0.20947043238233226,2.0087739243075053,928.7831,8.964,9360.764,928.7831_8.964,928.7831_8.964,1
