mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1481.1402_7.792,3097.613354695783,3961.6327259163854,1.2789306709021009,0.0227,0.3549380597968182,1.6439741428068773,1481.1402,7.792,3796.878,1481.1402_7.792,1481.1402_7.792,1
1497.1674_7.486,3863.1151137543343,4799.979316028096,1.2425152175605967,0.0171,0.31326352113546113,1.7670038896078462,1497.1674,7.486,4551.77,1497.1674_7.486,1497.1674_7.486,1
1500.1349_7.508,4455.748940869677,5837.778767214107,1.3101677955119893,0.00254,0.38975159210677524,2.595166283380062,1500.1349,7.508,5168.761,1500.1349_7.508,1500.1349_7.508,1
1503.1775_7.514,13409.598102732483,16194.546874528343,1.2076832393081467,0.0148,0.27224210283733163,1.8297382846050425,1503.1775,7.514,14992.164,1503.1775_7.514,1503.1775_7.514,1
1506.089_7.132,2970.1569564994666,2275.2120242753413,0.7660241723241571,0.0212,-0.38453817696433723,1.6736641390712486,1506.089,7.132,2805.621,1506.089_7.132,1506.089_7.132,1
1507.0917_7.135,3048.0269828590776,2417.474979513953,0.7931278145203094,0.0159,-0.3343747163278967,1.7986028756795485,1507.0917,7.135,2816.308,1507.0917_7.135,1507.0917_7.135,1
1510.1552_7.549,11999.272574824958,14740.740760384999,1.228469531670759,0.0147,0.2968620766234826,1.832682665251824,1510.1552,7.549,14660.482,Cluster_1510.1552_7.549,1510.1552_7.549;1511.1587_7.551,2
1512.1627_7.554,6512.2696459144345,8866.730553646585,1.3615422941231026,0.00407,0.445241798080529,2.39040559077478,1512.1627,7.554,7804.654,1512.1627_7.554,1512.1627_7.554,1
1514.1517_7.514,13066.472682557518,16598.281317365723,1.2702954898855625,0.0174,0.3451641286561627,1.7594507517174003,1514.1517,7.514,15368.324,1514.1517_7.514,1514.1517_7.514,1
1515.1602_7.514,12931.005771518623,16394.22739675794,1.2678230670090092,0.0473,0.3423534220077081,1.3251388592621884,1515.1602,7.514,14217.121,1515.1602_7.514,1515.1602_7.514,1
1520.1651_7.717,699032.4474970422,549109.5816852133,0.7855280304245629,7.24e-4,-0.34826533797642983,3.140261433802853,1520.1651,7.717,636290.6,Cluster_1520.1651_7.717,1520.1651_7.717;1521.1684_7.718;762.6491_7.715;763.5945_7.717,4
1523.1825_7.536,4066.8957320160707,4789.551271938751,1.1776921729843415,0.0137,0.23596249456419063,1.8632794328435933,1523.1825,7.536,4784.949,1523.1825_7.536,1523.1825_7.536,1
1524.1333_7.404,2427.2257152069974,2956.1655555087214,1.2179195107351668,0.0336,0.28441879227526,1.473660722610156,1524.1333,7.404,2530.8389,1524.1333_7.404,1524.1333_7.404,1
1526.0908_8.976,3229.9018173152954,3951.208258775781,1.22332147608748,0.0368,0.29080357885466634,1.4341521813264824,1526.0908,8.976,3544.613,1526.0908_8.976,1526.0908_8.976,1
1527.094_8.977,3063.919097578705,3696.2215480741083,1.2063704785792442,0.0421,0.27067302956765577,1.3757179041643317,1527.094,8.977,3579.527,1527.094_8.977,1527.094_8.977,1
1531.181_7.771,10835.84841356413,8608.853543698577,0.794478956804357,0.00218,-0.33191908716511,2.661543506395395,1531.181,7.771,10560.03,1531.181_7.771,1531.181_7.771,1
1531.6527_7.711,10898.104564326868,8804.974833843577,0.8079363509380518,0.00173,-0.3076864526565287,2.7619538968712045,1531.6527,7.711,10341.242,1531.6527_7.711,1531.6527_7.711,1
1532.1582_7.713,12457.706607979486,10178.8046874791,0.817068904236299,1.3e-4,-0.2914703474731877,3.886056647693163,1532.1582,7.713,12073.794,1532.1582_7.713,1532.1582_7.713,1
1534.154_7.527,6564.402182658762,8334.35828185874,1.269629442247717,0.0376,0.34440748925002557,1.424812155072339,1534.154,7.527,7469.234,1534.154_7.527,1534.154_7.527,1
1535.1521_6.713,39034.60842164727,45773.23785714365,1.1726321771364143,0.029,0.22975055007678657,1.537602002101044,1535.1521,6.713,47612.23,Cluster_1535.1521_6.713,1535.1521_6.713;1536.1554_6.715,2
1535.1558_7.533,6145.337419300934,7732.292590315748,1.2582372720545163,0.00166,0.3314040040444674,2.779891911959945,1535.1558,7.533,6817.084,1535.1558_7.533,1535.1558_7.533,1
1538.1514_7.472,5502.827171835638,7100.939881859682,1.2904166640383408,0.0159,0.36783697424029504,1.7986028756795485,1538.1514,7.472,6217.9053,Cluster_1538.1514_7.472,1538.1514_7.472;1539.1546_7.459,2
1540.1625_7.542,6670.929347189724,7814.129705080549,1.1713704790431372,0.0445,0.22819744112167084,1.3516399890190685,1540.1625,7.542,7545.752,1540.1625_7.542,1540.1625_7.542,1
1541.1852_7.515,7052.938791665448,8405.263002974058,1.1917391106394783,0.0299,0.2530684430302465,1.5243288116755704,1541.1852,7.515,6924.4404,1541.1852_7.515,1541.1852_7.515,1
1544.1549_7.686,23295.1718577611,19413.604553024707,0.833374601035914,0.0241,-0.26296296355090015,1.6179829574251317,1544.1549,7.686,22810.49,1544.1549_7.686,1544.1549_7.686,1
