mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1534.1768_8.083,2908.785241628918,3444.8451442217415,1.184289955449798,0.0303,0.24402234623375285,1.518557371497695,1534.1768,8.083,3409.9111,1534.1768_8.083,1534.1768_8.083,1
1535.1558_7.533,6395.559625705293,7583.196719049667,1.185697134082055,0.0391,0.24573554533254569,1.407823242604133,1535.1558,7.533,6817.084,1535.1558_7.533,1535.1558_7.533,1
1537.1733_7.573,11681.409090149567,14437.694168512127,1.235954845609064,0.0376,0.30562603676506317,1.424812155072339,1537.1733,7.573,14703.371,1537.1733_7.573,1537.1733_7.573,1
1538.1147_6.455,10741.624995299708,12783.392818405386,1.1900799761673964,0.0421,0.2510585292836901,1.3757179041643317,1538.1147,6.455,13029.49,Cluster_1538.1147_6.455,1538.1147_6.455;1539.1179_6.455,2
1538.1514_7.472,4907.227013155991,7035.829114055725,1.4337688260993582,0.00176,0.5198124296704766,2.75448733218585,1538.1514,7.472,6217.9053,Cluster_1538.1514_7.472,1538.1514_7.472;1539.1546_7.459,2
1538.1799_7.62,6273.214364341608,7987.255127653139,1.2732316582475696,0.0287,0.3484949343994993,1.5421181032660076,1538.1799,7.62,7128.8555,1538.1799_7.62,1538.1799_7.62,1
1540.1703_7.761,6630.75154953946,7845.228378467528,1.1831582468223258,0.00443,0.2426430463213975,2.3535962737769305,1540.1703,7.761,7419.801,1540.1703_7.761,1540.1703_7.761,1
1541.1773_7.535,6493.284972500776,7860.164095685562,1.2105065662409016,0.00755,0.2756109050762077,2.1220530483708115,1541.1773,7.535,7790.161,1541.1773_7.535,1541.1773_7.535,1
1542.1805_8.073,2475.5592640762493,2910.382095635811,1.1756463025827883,0.0304,0.2334540854621161,1.5171264163912463,1542.1805,8.073,2865.502,1542.1805_8.073,1542.1805_8.073,1
1543.2104_7.94,4393.694678183876,5471.605633936315,1.2453313292579518,0.00446,0.31652963264124123,2.350665141287858,1543.2104,7.94,5622.164,Cluster_1543.2104_7.94,1543.2104_7.94;1544.2137_7.94,2
1544.1615_7.508,10060.082927621512,11925.880904153526,1.1854654668312106,0.021,0.24545363704429551,1.6777807052660807,1544.1615,7.508,11460.8,Cluster_1544.1615_7.508,1544.1615_7.508;1545.1646_7.511,2
1546.1714_7.763,10907.631615280974,8766.475827458758,0.8037011274910882,0.0202,-0.3152689890657192,1.6946486305533763,1546.1714,7.763,9272.995,1546.1714_7.763,1546.1714_7.763,1
